skill,group_skills,title,role,short_role,,,,,,,,,
Microsoft SharePoint Online,Microsoft SharePoint Framework,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Microsoft SharePoint Framework,Microsoft SharePoint Framework,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
SharePoint Apps,Microsoft SharePoint WebPart and App,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
SharePoint Web Part,Microsoft SharePoint WebPart and App,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
SqlServerCE Database,Mobility and Smart Devices Databases,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
LevelDB Database,Mobility and Smart Devices Databases,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
SQLite Database,Mobility and Smart Devices Databases,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Realm Database,Mobility and Smart Devices Databases,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Raima Database,Mobility and Smart Devices Databases,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Redis Database,Mobility and Smart Devices Databases,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Ninox Database,Mobility and Smart Devices Databases,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
HanDBase Database,Mobility and Smart Devices Databases,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Balsamiq Mockups,Mockups Design Tool,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Adobe XD Mockups,Mockups Design Tool,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Proto.io Mockups,Mockups Design Tool,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
UX Magazine Mockups,Mockups Design Tool,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Sketch Mockups,Mockups Design Tool,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
mockup.io Mockups,Mockups Design Tool,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Xara Designer Pro Mockups,Mockups Design Tool,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
UX-App Mockups,Mockups Design Tool,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
TemplateToaster Mockups,Mockups Design Tool,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Mockplus Mockups,Mockups Design Tool,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Axure Mockups,Mockups Design Tool,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Freepik Mockups,Mockups Design Tool,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Pre-qualification/Pre-approval,Mortgage Banking,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Recording Technique,Mortgage Banking,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Mortgage-backed Securities,Mortgage Banking,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Upfront Underwriting,Mortgage Banking,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Title Insurance,Mortgage Banking,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Mortgage Insurance,Mortgage Banking,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
e-Signature Technique,Mortgage Banking,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Agent-Assisted Application,Mortgage Banking,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Escrow Accoutning,Mortgage Banking,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Appraisal Loan Processing,Mortgage Banking,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Self-assisted Application,Mortgage Banking,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Warehouse Line of Credit,Mortgage Banking,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Closing Support,Mortgage Banking,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
eNote Delivery,Mortgage Banking,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
"Underwriting (Manual, Automated)",Mortgage Banking,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Document Preparation and Storage,Mortgage Banking,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Document Delivery,Mortgage Banking,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Mortgage Calculator,Mortgage Banking,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Lead Management,Mortgage Banking,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Spanish,Natural Language,Natural Languages,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Chinese,Natural Language,Natural Languages,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
English,Natural Language,Natural Languages,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Turkish,Natural Language,Natural Languages,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Portuguese,Natural Language,Natural Languages,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
French,Natural Language,Natural Languages,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Italian,Natural Language,Natural Languages,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Japanese,Natural Language,Natural Languages,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Korean,Natural Language,Natural Languages,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Indonesian,Natural Language,Natural Languages,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Dutch,Natural Language,Natural Languages,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Malayalam,Natural Language,Natural Languages,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Hindi,Natural Language,Natural Languages,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Polish,Natural Language,Natural Languages,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Vietnamese,Natural Language,Natural Languages,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Romanian,Natural Language,Natural Languages,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Azerbaijani,Natural Language,Natural Languages,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Russian,Natural Language,Natural Languages,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
German,Natural Language,Natural Languages,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Arabic,Natural Language,Natural Languages,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Github Version Controls,Non-Microsoft Source Controls,Advanced Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
SVN Version Controls,Non-Microsoft Source Controls,Advanced Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Jenkin Version Controls,Non-Microsoft Source Controls,Advanced Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
GitKraken Soure Controls,Non-Microsoft Source Controls,Advanced Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Mercurial Version Controls,Non-Microsoft Source Controls,Advanced Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Azure Cosmos DB Database,NoSQL Databases,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Amazon DynamoDB Database,NoSQL Databases,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
MongoDB Database,NoSQL Databases,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
CouchDB Database,NoSQL Databases,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
IBM Cloudant,NoSQL Databases,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Apache Cassandra Database,NoSQL Databases,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Oracle NoSQL Database,NoSQL Databases,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Object-Oriented Design Patterns,Object-Oriented Design Principles and Patterns,Design Principles and Patterns Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Object-Oriented Design Principles,Object-Oriented Design Principles and Patterns,Design Principles and Patterns Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
"Microsoft Visio, PowerBI, Planer, Project, Flow, PowerApps",Office 365,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
"Microsoft Stream, Microsoft Forms, Microsoft Teams",Office 365,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Microsoft Office Online,Office 365,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Petrochemical Technology,Oil & Gas Industry,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
General Oil & Gas Operations,Oil & Gas Industry,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Oil & Gas Refining,Oil & Gas Industry,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Digital Oilfield,Oil & Gas Industry,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Oil & Gas Exploration,Oil & Gas Industry,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Chemicals and Additives,Oil & Gas Industry,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Facilities and Processes,Oil & Gas Industry,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Midstream Process Sections,Oil & Gas Industry,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Oil Geology,Oil & Gas Industry,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Oil & Gas Production,Oil & Gas Industry,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Water Systems,Oil & Gas Industry,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Oil & Gas Utility Systems,Oil & Gas Industry,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Drilling and Services,Oil & Gas Industry,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Reservoir and Wellheads,Oil & Gas Industry,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Process Control Systems,Oil & Gas Industry,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Pipelines and LNG,Oil & Gas Industry,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
"Power Generation, Distribution and Drives",Oil & Gas Industry,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Upstream Process Sections,Oil & Gas Industry,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
WSO2 Platform,Open-Source Platform,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Akka Toolkit and Runtime,Open-Source Platform,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Apache Kafka Distributed Streaming Platform,Open-Source Platform,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
E-Wallet Technique,Other Financial Services,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Point Cards,Other Financial Services,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Credit/Debit Cards,Other Financial Services,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
White Label Banking,Other Financial Services,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Digital Currency,Other Financial Services,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Stock Market Analysis and Prediction,Other Financial Services,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Barcode Payment,Other Financial Services,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
QR Code Payment,Other Financial Services,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
IC Cards,Other Financial Services,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Label Generator Print Label,Other Financial Services,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Prepaid Cards,Other Financial Services,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
CICS/TS 5.4,Others,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
IMS V15,Others,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
MicroStrategy v10.4,Others,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
WAS9,Others,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
ClearCase +BuildForge,Others,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
VDR,Others,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
BO XI4.2,Others,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
WAS7,Others,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
.NET Multithreading and Parallel Programming,Parallel and Multithreading Programming,Advanced Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
.NET Asynchronous Programming,Parallel and Multithreading Programming,Advanced Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Java Asynchronous Programming,Parallel and Multithreading Programming,Advanced Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Java Multithreading Programming,Parallel and Multithreading Programming,Advanced Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Java Parallel Programming,Parallel and Multithreading Programming,Advanced Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
The Mobile Titanium Appcelerator Platform,Platforms,Advanced Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
The Electron JS Cross-Platform,Platforms,Advanced Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
The Unity Real-time Development Platform,Platforms,Advanced Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Dropbox,Popular Cloud Storages,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
OneDrive,Popular Cloud Storages,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
"Mega, IDrive, Box",Popular Cloud Storages,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Google Drive,Popular Cloud Storages,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Amazon Drive,Popular Cloud Storages,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Rust Programming Language,Programming Language,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
IBM PL/I Programming Language,Programming Language,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
VBA Programming Language,Programming Language,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Ruby Programming Language,Programming Language,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Ladder Diagram (LD),Programming Language,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Sequential Function Charts (SFC),Programming Language,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Structured Text (ST),Programming Language,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Instruction List (IL),Programming Language,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Hardware Description Languages (HDLs),Programming Language,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Function Block Diagram (FBD),Programming Language,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
COBOL Programming Language,Programming Language,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Scala Programming Language,Programming Language,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Smalltalk Programming Language,Programming Language,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
ASP-Microsoft Active ServerPages 3.0,Programming Language,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
QML Programming Language,Programming Language,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Perl-CGI Programming Language,Programming Language,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
MatLab Programming Language,Programming Language,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Assembly Programming Language,Programming Language,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Delphi Programming Language,Programming Language,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Coldfusion Programming Language,Programming Language,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Lua Programming Language,Programming Language,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
LISP Programming Language,Programming Language,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Fortran Programming Language,Programming Language,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
B# Programming Language,Programming Language,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
CORBA Programming Language,Programming Language,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Visual J# 6.0 Programming Language,Programming Language,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Visual Basic C++ 6.0 Programming Language,Programming Language,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Visual Basic 6.0 Programming Language,Programming Language,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Visual FoxPro 6.0 Programming Language,Programming Language,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
FoxPro Programming Language,Programming Language,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Go Programming Language,Programming Language,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Single Project or Multiple Projects Management,Project Management and Leadership,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Program Management,Project Management and Leadership,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Deliver Complex Software Systems,Project Management and Leadership,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Agile Scrum Model and Methodology,Project Management and Leadership,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Line Management,Project Management and Leadership,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Tenancy Deposit Schemes (Scotland),Properties insurance,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Condo Insurance,Properties insurance,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Landlords' Insurance,Properties insurance,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Vehicle / Auto Insurance,Properties insurance,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Rent Guarantee Insurance,Properties insurance,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Properties insurance,Properties insurance,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Tenancy Deposit Scheme (England and Wales),Properties insurance,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Collateral protection insurance,Properties insurance,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Renters' Insurance,Properties insurance,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Home insurance,Properties insurance,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
.NET Reflector,Reflector Tool,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Java Reflector,Reflector Tool,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Database Tuning and Optimization,Relational Database Administration,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Database Linked and Integration,Relational Database Administration,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Database Replication,Relational Database Administration,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Database System Troubleshooting,Relational Database Administration,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Database Transformation and Loading,Relational Database Administration,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Database Installation and Configuration,Relational Database Administration,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Database Creation and Maintenance,Relational Database Administration,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Database Backup and Recovery,Relational Database Administration,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Data Protection and Database Security,Relational Database Administration,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Migration and Upgrade,Relational Database Administration,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
SQL Server Schema Design,Relational Databases,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
SQL Server Query Optimization Techniques,Relational Databases,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
SQL Server Database,Relational Databases,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
SQL Server Stored Procedure Programming,Relational Databases,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Azure SQL Database,Relational Databases,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
IBM DB2 Database Development,Relational Databases,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
PostgreSQL Database,Relational Databases,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
SAP SQL Anywhere Database,Relational Databases,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
MariaDB Database,Relational Databases,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
MySQL Database,Relational Databases,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Microsoft Access Database,Relational Databases,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
SAP HANA Database,Relational Databases,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Oracle Cloud Database,Relational Databases,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Oracle SQL Developer,Relational Databases,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Oracle Database,Relational Databases,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Oracle Stored Procedure Programming,Relational Databases,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Oracle Query Optimization Techniques,Relational Databases,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Oracle Schema Design,Relational Databases,Database Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
DevExpress Report and Dashboard Server,Reports and Documents,Advanced Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
IronPDF PDF Design and Viewer,Reports and Documents,Advanced Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Crystal Reports Design and Viewer,Reports and Documents,Advanced Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Crystal Reports? Server,Reports and Documents,Advanced Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
iTextSharp Reports Design and Viewer,Reports and Documents,Advanced Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
"iTextSharp and IronPDF Converting, Migration, Exporting",Reports and Documents,Advanced Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
CrystalReport Scriptings and Converting,Reports and Documents,Advanced Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
SVF Reporting and Exporting Solutions,Reports and Documents,Advanced Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Reports?Rerver  Reporting and Exporting Solutions,Reports and Documents,Advanced Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Customs Clearance,Retail,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
WMS Inbound Management,Retail,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Logistics Operation - GPS,Retail,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Customer Service Call Center,Retail,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
General Retail & E-Commerce Operations,Retail,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
TMS Vehicle Routing,Retail,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
WMS Outbound Management,Retail,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Customer Service Claim /Case Management,Retail,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
MDU COD Collection,Retail,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Label Generator Print Label,Retail,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
TMS Fleet Management,Retail,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
TMS Dispatching,Retail,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
MDU Route Execution,Retail,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
WMS Inventory Management,Retail,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
UiPath RPA Tools,RPA (Robotic Process Automation) Platform,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
SYSL,Scripting Language,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Bash Shell Scripting,Scripting Language,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Shell Scripting,Scripting Language,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Notes Scripting,Scripting Language,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
PowerShell Scripts,Scripting Language,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
The Lucene Library,Search Engine and Technique,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
The ElasticSearch Engine,Search Engine and Technique,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
The Solr Search Engine,Search Engine and Technique,Rare Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Online Trading,Securities,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Security Margin Trade,Securities,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Security Fund,Securities,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Security Derivative,Securities,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Security IPO Management,Securities,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Security Stock,Securities,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Security FIX System,Securities,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Security Account Management,Securities,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Security Symbol Management,Securities,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Security Compliance Management,Securities,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Security Clearing Management,Securities,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Security Underwriting,Securities,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
Security Settlement Management,Securities,Business Domain Skills,Non-Engineering and Soft Skills,COMMON,,,,,,,,,
