skill,group_skills,title,role,short_role,,,,,,,,,
Compute Engine,Cloud Computing,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Migrate for Compute Engine,Cloud Computing,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Preemptible VMs,Cloud Computing,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
App Engine,Cloud Computing,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Service Fabric,Cloud Containers,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Container Registry,Cloud Containers,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Azure Red Hat OpenShift,Cloud Containers,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Web App for Containers,Cloud Containers,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Container Instances,Cloud Containers,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Container Options,Cloud Containers,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cloud Build,Cloud Containers,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Google Kubernetes Engine (GKE),Cloud Containers,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Deep Learning Containers,Cloud Containers,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Container Registry,Cloud Containers,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Container Security,Cloud Containers,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Kubernetes applications on GCP Marketplace,Cloud Containers,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Amazon Athena-Query Data in S3 using SQL,Cloud Data Analytics,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Amazon Redshift Cloud Data Warehouse,Cloud Data Analytics,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
