skill,group_skills,title,role
ActiveReports Design and Viewer,Reports and Documents,.NET Software Engineer,Software Engineer
SQL Programming Language,SQL Programming Language,.NET Software Engineer,Software Engineer
ASP.NET Web Forms,Web Apps Development,.NET Software Engineer,Software Engineer
ASP.NET Core,Web Apps Development,.NET Software Engineer,Software Engineer
Microsoft Silverlight,Web Apps Development,.NET Software Engineer,Software Engineer
"ASP.NET MVC (Model, View, Controller)",Web Apps Development,.NET Software Engineer,Software Engineer
ASP.NET Communication (Front-End and Back-End),Web Services Development,.NET Software Engineer,Software Engineer
ASP.NET Web API and Communication,Web Services Development,.NET Software Engineer,Software Engineer
ASP.NET Web Services Development and Deployment,Web Services Development,.NET Software Engineer,Software Engineer
WCF (Windows Communication Foundation),Web Services Development,.NET Software Engineer,Software Engineer
ASP.NET Web API Development and Deployment,Web Services Development,.NET Software Engineer,Software Engineer
Basic Design of Logical Data Modeling,Basic Design of Data Modeling,Japan BrSE,Bridge Software Engineer
Basic Design of Concept Data Modeling,Basic Design of Data Modeling,Japan BrSE,Bridge Software Engineer
Basic Design of Physical Data Modeling,Basic Design of Data Modeling,Japan BrSE,Bridge Software Engineer
Cause and Effect (fishbone),Business Flow Diagrams Overall Design,Korea BrSE,Bridge Software Engineer
Organizational Charts,Business Flow Diagrams Overall Design,Korea BrSE,Bridge Software Engineer
Product Roadmaps Design,Business Flow Diagrams Overall Design,Korea BrSE,Bridge Software Engineer
Brainstorming Diagram,Business Flow Diagrams Overall Design,Korea BrSE,Bridge Software Engineer
PESTLE Analysis Scenario,Business Flow Diagrams Overall Design,Korea BrSE,Bridge Software Engineer
Funtional Process Flow Diagram Design,Business Flow Diagrams Overall Design,Korea BrSE,Bridge Software Engineer
Feature Mindmaps Design,Business Flow Diagrams Overall Design,Korea BrSE,Bridge Software Engineer
SWOT Analysis Scenario,Business Flow Diagrams Overall Design,Korea BrSE,Bridge Software Engineer
Database Migration Plan and Strategy,Business In-Depth Investigation and Analysis,Korea BrSE,Bridge Software Engineer
Investigation of Business of a New System,Business In-Depth Investigation and Analysis,Korea BrSE,Bridge Software Engineer
Investigation of Features of an Existing System,Business In-Depth Investigation and Analysis,Korea BrSE,Bridge Software Engineer
Business Requirements and Specifications Analysis,Business In-Depth Investigation and Analysis,Korea BrSE,Bridge Software Engineer
Explain and Transfer Requirements to the SA Team,Business Requirements Design and Implementation,Korea BrSE,Bridge Software Engineer
Review and Align Code Design according Class Diagram,Business Requirements Design and Implementation,Korea BrSE,Bridge Software Engineer
Explain and Transfer Designs to the Development Team,Business Requirements Design and Implementation,Korea BrSE,Bridge Software Engineer
Bridge of Client and Answer Q&A or Issues,Business Requirements Design and Implementation,Korea BrSE,Bridge Software Engineer
Review and Escalate an Physical System with Architecture Design,Business Requirements Design and Implementation,Korea BrSE,Bridge Software Engineer
Basic Design of Physical Data Modeling,Data Modeling and Design,Korea BrSE,Bridge Software Engineer
Basic Design of Logical Data Modeling,Data Modeling and Design,Korea BrSE,Bridge Software Engineer
Basic Design of Concept Data Modeling,Data Modeling and Design,Korea BrSE,Bridge Software Engineer
Explain and Transfer Requirements to the SA Team,Design and Implementation of Business Requirements,Japan BrSE,Bridge Software Engineer
Explain and Transfer Designs to the Development Team,Design and Implementation of Business Requirements,Japan BrSE,Bridge Software Engineer
Bridge of Client and Answer Q&A or Issues,Design and Implementation of Business Requirements,Japan BrSE,Bridge Software Engineer
Physical System Review and Escalation,Design and Implementation of Business Requirements,Japan BrSE,Bridge Software Engineer
Review & Align Code Design According Class Diagram,Design and Implementation of Business Requirements,Japan BrSE,Bridge Software Engineer
State Machine Diagram,Designing and Implementation of UML Diagrams,Japan BrSE,Bridge Software Engineer
Composite Structure Diagram,Designing and Implementation of UML Diagrams,Japan BrSE,Bridge Software Engineer
Class Diagram,Designing and Implementation of UML Diagrams,Japan BrSE,Bridge Software Engineer
Component Diagram,Designing and Implementation of UML Diagrams,Japan BrSE,Bridge Software Engineer
Communication Diagram,Designing and Implementation of UML Diagrams,Japan BrSE,Bridge Software Engineer
Package Diagram,Designing and Implementation of UML Diagrams,Japan BrSE,Bridge Software Engineer
Activity Diagram,Designing and Implementation of UML Diagrams,Japan BrSE,Bridge Software Engineer
Deployment Diagram,Designing and Implementation of UML Diagrams,Japan BrSE,Bridge Software Engineer
Use Case Diagram,Designing and Implementation of UML Diagrams,Japan BrSE,Bridge Software Engineer
Profile Diagram,Designing and Implementation of UML Diagrams,Japan BrSE,Bridge Software Engineer
Interaction Overview Diagram,Designing and Implementation of UML Diagrams,Japan BrSE,Bridge Software Engineer
Object Diagram,Designing and Implementation of UML Diagrams,Japan BrSE,Bridge Software Engineer
Timing Diagram,Designing and Implementation of UML Diagrams,Japan BrSE,Bridge Software Engineer
Sequence Diagram,Designing and Implementation of UML Diagrams,Japan BrSE,Bridge Software Engineer
Screen Design and Item Definition,Forms and Screens Sketching  and Wireframing,Korea BrSE,Bridge Software Engineer
Form/Page Layout Definition and Design,Forms and Screens Sketching  and Wireframing,Korea BrSE,Bridge Software Engineer
Input and Output Data Context,Forms and Screens Sketching  and Wireframing,Korea BrSE,Bridge Software Engineer
Data Simulation and Scenario,Forms and Screens Sketching  and Wireframing,Korea BrSE,Bridge Software Engineer
SQL or SQL-Based Description,Forms and Screens Sketching  and Wireframing,Korea BrSE,Bridge Software Engineer
Outline Design of Functional Requirements,Functional Outline Design,Korea BrSE,Bridge Software Engineer
Outline Design of External Interface Requirements,Functional Outline Design,Korea BrSE,Bridge Software Engineer
Outline Design of Non-Functional Requirements,Functional Outline Design,Korea BrSE,Bridge Software Engineer
Outline Design Relationship Between Functions,Functional Outline Design,Korea BrSE,Bridge Software Engineer
Business Requirements and Specifications Analysis,In-Depth Investigation and Analysis,Japan BrSE,Bridge Software Engineer
Investigation of Business of a New System,In-Depth Investigation and Analysis,Japan BrSE,Bridge Software Engineer
Investigation of Features of an Existing System,In-Depth Investigation and Analysis,Japan BrSE,Bridge Software Engineer
Database Migration Plan and Strategy,In-Depth Investigation and Analysis,Japan BrSE,Bridge Software Engineer
Outline Design of Non-Functional Requirements,Outline Design of Major Functions,Japan BrSE,Bridge Software Engineer
Outline Design of Functional Requirements,Outline Design of Major Functions,Japan BrSE,Bridge Software Engineer
Outline Design of External Interface Requirements,Outline Design of Major Functions,Japan BrSE,Bridge Software Engineer
Outline Design Relationship Between Functions,Outline Design of Major Functions,Japan BrSE,Bridge Software Engineer
PESTLE Analysis Scenario,Overall Design of Business Flow Diagrams,Japan BrSE,Bridge Software Engineer
Organizational Charts,Overall Design of Business Flow Diagrams,Japan BrSE,Bridge Software Engineer
Funtional Process Flow Diagram Design,Overall Design of Business Flow Diagrams,Japan BrSE,Bridge Software Engineer
Cause and Effect (fishbone),Overall Design of Business Flow Diagrams,Japan BrSE,Bridge Software Engineer
Feature Mindmaps Design,Overall Design of Business Flow Diagrams,Japan BrSE,Bridge Software Engineer
Product Roadmaps Design,Overall Design of Business Flow Diagrams,Japan BrSE,Bridge Software Engineer
SWOT Analysis Scenario,Overall Design of Business Flow Diagrams,Japan BrSE,Bridge Software Engineer
Brainstorming Diagram,Overall Design of Business Flow Diagrams,Japan BrSE,Bridge Software Engineer
Python Programming Language,Programming Language,Korea BrSE,Bridge Software Engineer
Visual Basic .NET Programming Language,Programming Language,Korea BrSE,Bridge Software Engineer
Visual C# .NET Programming Language,Programming Language,Korea BrSE,Bridge Software Engineer
Visual C++ .NET/MFC Programming Language,Programming Language,Korea BrSE,Bridge Software Engineer
Java Programming Language,Programming Language,Korea BrSE,Bridge Software Engineer
Python Programming Language,Programming Languages,Japan BrSE,Bridge Software Engineer
PHP Server Scripting Language,Programming Languages,Japan BrSE,Bridge Software Engineer
Visual C++ .NET/MFC Programming Language,Programming Languages,Japan BrSE,Bridge Software Engineer
Visual C# .NET Programming Language,Programming Languages,Japan BrSE,Bridge Software Engineer
JavaScript Programming,Programming Languages,Japan BrSE,Bridge Software Engineer
Visual Basic .NET Programming Language,Programming Languages,Japan BrSE,Bridge Software Engineer
Java Programming Language,Programming Languages,Japan BrSE,Bridge Software Engineer
Strategic & Business Management,Project General Management,Japan BrSE,Bridge Software Engineer
Project Environment Management,Project General Management,Japan BrSE,Bridge Software Engineer
Conduct the Procurement or Other contract Closure,Project General Management,Japan BrSE,Bridge Software Engineer
Project Contract Management,Project General Management,Japan BrSE,Bridge Software Engineer
Process Improvement and Management,Project General Management,Japan BrSE,Bridge Software Engineer
Technical Project Management,Project General Management,Japan BrSE,Bridge Software Engineer
Communications Management,Project General Management,Japan BrSE,Bridge Software Engineer
Project Procurement Management,Project General Management,Japan BrSE,Bridge Software Engineer
Project Stakeholder Management,Project General Management,Japan BrSE,Bridge Software Engineer
Strategic & Business Management,Project Management,Korea BrSE,Bridge Software Engineer
Project Environment Management,Project Management,Korea BrSE,Bridge Software Engineer
Process Improvement and Management,Project Management,Korea BrSE,Bridge Software Engineer
Communications Management,Project Management,Korea BrSE,Bridge Software Engineer
Technical Project Management,Project Management,Korea BrSE,Bridge Software Engineer
Project Procurement Management,Project Management,Korea BrSE,Bridge Software Engineer
Project Stakeholder Management,Project Management,Korea BrSE,Bridge Software Engineer
Project Contract Management,Project Management,Korea BrSE,Bridge Software Engineer
Conduct the Procurement or Other contract Closure,Project Management,Korea BrSE,Bridge Software Engineer
Track and Report Business Requirements,Requirements Release and Life Cycle Management,Japan BrSE,Bridge Software Engineer
Storage and Prioritize Business Requirements,Requirements Release and Life Cycle Management,Japan BrSE,Bridge Software Engineer
Business Requirements Agreement and Approval,Requirements Release and Life Cycle Management,Japan BrSE,Bridge Software Engineer
Maintain and Reuse Business Requirements,Requirements Release and Life Cycle Management,Japan BrSE,Bridge Software Engineer
Changed Requirements Assessment and Management,Requirements Release and Life Cycle Management,Japan BrSE,Bridge Software Engineer
Maintain and Reuse Business Requirements,Requirements Release and Life Cycle Management,Korea BrSE,Bridge Software Engineer
Changed Requirements Assessment and Management,Requirements Release and Life Cycle Management,Korea BrSE,Bridge Software Engineer
Storage and Prioritize Business Requirements,Requirements Release and Life Cycle Management,Korea BrSE,Bridge Software Engineer
Business Requirements Agreement and Approval,Requirements Release and Life Cycle Management,Korea BrSE,Bridge Software Engineer
Track and Report Business Requirements,Requirements Release and Life Cycle Management,Korea BrSE,Bridge Software Engineer
Data Simulation and Scenario,Sketching  the Wireframing of Forms and Screens,Japan BrSE,Bridge Software Engineer
SQL or SQL-Based Description,Sketching  the Wireframing of Forms and Screens,Japan BrSE,Bridge Software Engineer
Input and Output Data Context,Sketching  the Wireframing of Forms and Screens,Japan BrSE,Bridge Software Engineer
Screen Design and Item Definition,Sketching  the Wireframing of Forms and Screens,Japan BrSE,Bridge Software Engineer
Form/Page Layout Definition and Design,Sketching  the Wireframing of Forms and Screens,Japan BrSE,Bridge Software Engineer
SDLC (Software Development Life Cycle) Methodology,Software Development Methodology and Framework,Korea BrSE,Bridge Software Engineer
Waterum (Hybrid) Methodology,Software Development Methodology and Framework,Korea BrSE,Bridge Software Engineer
Scrumban (Hybrid) Methodology,Software Development Methodology and Framework,Korea BrSE,Bridge Software Engineer
Scrum Framework and Agile Model,Software Development Methodology and Framework,Korea BrSE,Bridge Software Engineer
DevOps Tool and Service,Software Development Methodology and Framework,Korea BrSE,Bridge Software Engineer
Kanban Methodology and Workflow,Software Development Methodology and Framework,Korea BrSE,Bridge Software Engineer
Waterfall Methodology,Software Development Methodology and Framework,Korea BrSE,Bridge Software Engineer
Six Sigma Techniques and Tools,Software Development Methodology and Framework,Korea BrSE,Bridge Software Engineer
Make Estimation and Proposal Documents,Technical Expertise Matters in Pre-sale Activities,Japan BrSE,Bridge Software Engineer
Issues and Opportunities Analysis,Technical Expertise Matters in Pre-sale Activities,Japan BrSE,Bridge Software Engineer
Measure and Define Solution Performance,Technical Expertise Matters in Pre-sale Activities,Japan BrSE,Bridge Software Engineer
Make Business Viewpoints for New Solution,Technical Expertise Matters in Pre-sale Activities,Japan BrSE,Bridge Software Engineer
Recommend Actions to Increase Solution's Value,Technical Expertise Matters in Pre-sale Activities,Japan BrSE,Bridge Software Engineer
Solution Limitation Determination,Technical Expertise Matters in Pre-sale Activities,Japan BrSE,Bridge Software Engineer
Identify Requested Features and Requirements,Technical Expertise Matters in Pre-sale Activities,Japan BrSE,Bridge Software Engineer
Solution Limitation Determination,Technical Expertise Matters in Pre-sale Activity,Korea BrSE,Bridge Software Engineer
Measure and Define Solution Performance,Technical Expertise Matters in Pre-sale Activity,Korea BrSE,Bridge Software Engineer
Identify Requested Features and Requirements,Technical Expertise Matters in Pre-sale Activity,Korea BrSE,Bridge Software Engineer
Make Estimation and Proposal Documents,Technical Expertise Matters in Pre-sale Activity,Korea BrSE,Bridge Software Engineer
Issues and Opportunities Analysis,Technical Expertise Matters in Pre-sale Activity,Korea BrSE,Bridge Software Engineer
Make Business Viewpoints for New Solution,Technical Expertise Matters in Pre-sale Activity,Korea BrSE,Bridge Software Engineer
Deployment Diagram,UML Diagram Designing and Implementation,Korea BrSE,Bridge Software Engineer
Object Diagram,UML Diagram Designing and Implementation,Korea BrSE,Bridge Software Engineer
Use Case Diagram,UML Diagram Designing and Implementation,Korea BrSE,Bridge Software Engineer
Activity Diagram,UML Diagram Designing and Implementation,Korea BrSE,Bridge Software Engineer
Package Diagram,UML Diagram Designing and Implementation,Korea BrSE,Bridge Software Engineer
Component Diagram,UML Diagram Designing and Implementation,Korea BrSE,Bridge Software Engineer
Interaction Overview Diagram,UML Diagram Designing and Implementation,Korea BrSE,Bridge Software Engineer
Timing Diagram,UML Diagram Designing and Implementation,Korea BrSE,Bridge Software Engineer
Class Diagram,UML Diagram Designing and Implementation,Korea BrSE,Bridge Software Engineer
Composite Structure Diagram,UML Diagram Designing and Implementation,Korea BrSE,Bridge Software Engineer
Communication Diagram,UML Diagram Designing and Implementation,Korea BrSE,Bridge Software Engineer
State Machine Diagram,UML Diagram Designing and Implementation,Korea BrSE,Bridge Software Engineer
Sequence Diagram,UML Diagram Designing and Implementation,Korea BrSE,Bridge Software Engineer
Profile Diagram,UML Diagram Designing and Implementation,Korea BrSE,Bridge Software Engineer
Update the Functional Requirement Specification,Validation of the Overall Design,Korea BrSE,Bridge Software Engineer
Reestimate the Budget / Cost of Project,Validation of the Overall Design,Korea BrSE,Bridge Software Engineer
Validation of Deadlines and Policies with Stakeholders,Validation of the Overall Design,Korea BrSE,Bridge Software Engineer
Stakeholder Deadlines and Policies Validation,Validation of the Overall Design,Korea BrSE,Bridge Software Engineer
Clarify Current Issues and Deferred Features,Validation of the Overall Design,Korea BrSE,Bridge Software Engineer
Redesign the System Requirement Specification,Validation of the Overall Design,Korea BrSE,Bridge Software Engineer
Redesign the System Requirement Specification,Validation of the Overall Designs,Japan BrSE,Bridge Software Engineer
Stakeholder Deadlines and Policies Validation,Validation of the Overall Designs,Japan BrSE,Bridge Software Engineer
Reestimate the Budget / Cost of Project,Validation of the Overall Designs,Japan BrSE,Bridge Software Engineer
Reschedule the Plan and Milestone,Validation of the Overall Designs,Japan BrSE,Bridge Software Engineer
Clarify Current Issues and Deferred Features,Validation of the Overall Designs,Japan BrSE,Bridge Software Engineer
Update the Functional Requirement Specification,Validation of the Overall Designs,Japan BrSE,Bridge Software Engineer
Circuit Layout Analysis,Analog Mixed Signal,LSI Hardware Design Engineer,CAD and CAM Engineer
Circuit Simulation,Analog Mixed Signal,LSI Hardware Design Engineer,CAD and CAM Engineer
Layout Verification,Analog Mixed Signal,LSI Hardware Design Engineer,CAD and CAM Engineer
Circuit Analysis and Design,Analog Mixed Signal,LSI Hardware Design Engineer,CAD and CAM Engineer
IP C-Test Validation,ASIC Digital,LSI Hardware Design Engineer,CAD and CAM Engineer
DFT System,ASIC Digital,LSI Hardware Design Engineer,CAD and CAM Engineer
Logic Synthesis,ASIC Digital,LSI Hardware Design Engineer,CAD and CAM Engineer
P&R Services,ASIC Digital,LSI Hardware Design Engineer,CAD and CAM Engineer
SystemC Hardware Modeling,ASIC Digital,LSI Hardware Design Engineer,CAD and CAM Engineer
RTL Design & Verification,ASIC Digital,LSI Hardware Design Engineer,CAD and CAM Engineer
STA System,ASIC Digital,LSI Hardware Design Engineer,CAD and CAM Engineer
FPGA System,ASIC Digital,LSI Hardware Design Engineer,CAD and CAM Engineer
Manufacturing Capabilities,Computer Aided Design,Hardware Engineer,CAD and CAM Engineer
Symbol Library creation and maintenance,Computer Aided Design,Hardware Engineer,CAD and CAM Engineer
Block Schematic Creation,Computer Aided Design,Hardware Engineer,CAD and CAM Engineer
Rule Layout Creation,Computer Aided Design,Hardware Engineer,CAD and CAM Engineer
Product Value Development,Computer Aided Design,Hardware Engineer,CAD and CAM Engineer
Coordinate related departments,Computer Aided Design,Hardware Engineer,CAD and CAM Engineer
Schematic Creation,Computer Aided Design,Hardware Engineer,CAD and CAM Engineer
PCB Creation,Computer Aided Design,Hardware Engineer,CAD and CAM Engineer
Cause analysis,Computer Aided Design,Hardware Engineer,CAD and CAM Engineer
Product Reliability,Computer Aided Design,Hardware Engineer,CAD and CAM Engineer
Productivity Measure and Evaluation,Computer Aided Design,Hardware Engineer,CAD and CAM Engineer
Create Design Changes Report,Computer Aided Design,Hardware Engineer,CAD and CAM Engineer
Product Specification Proposal,Computer Aided Design,Hardware Engineer,CAD and CAM Engineer
Footprint Creation,Computer Aided Design,Hardware Engineer,CAD and CAM Engineer
Make and Use Script Automation,Computer Aided Design,Hardware Engineer,CAD and CAM Engineer
Net and bus group Creation,Computer Aided Design,Hardware Engineer,CAD and CAM Engineer
2D and 3D Mapping,Computer Aided Design,Hardware Engineer,CAD and CAM Engineer
Create Changes Layout,Computer Aided Design,Hardware Engineer,CAD and CAM Engineer
CAD Data Modification,Computer Aided Design,Hardware Engineer,CAD and CAM Engineer
Design rule check,Computer Aided Design,Hardware Engineer,CAD and CAM Engineer
Footprint Library Creation and Maintenance,Computer Aided Design,Hardware Engineer,CAD and CAM Engineer
Symbol Creation & Modification,Computer Aided Design,Hardware Engineer,CAD and CAM Engineer
Progress Management,Computer Aided Design,Hardware Engineer,CAD and CAM Engineer
Product Quality Control,Computer Aided Design,Hardware Engineer,CAD and CAM Engineer
Create 2D Drawing,Computer Aided Design,Mechanical Engineer,CAD and CAM Engineer
Create Part Assembly Layout,Computer Aided Design,Mechanical Engineer,CAD and CAM Engineer
Create Cross Section,Computer Aided Design,Mechanical Engineer,CAD and CAM Engineer
Product Value Development,Computer Aided Design,Mechanical Engineer,CAD and CAM Engineer
Cause analysis,Computer Aided Design,Mechanical Engineer,CAD and CAM Engineer
Create Design Changes Report,Computer Aided Design,Mechanical Engineer,CAD and CAM Engineer
Solid/Surface Part Creation & Modification,Computer Aided Design,Mechanical Engineer,CAD and CAM Engineer
Product Quality Control,Computer Aided Design,Mechanical Engineer,CAD and CAM Engineer
Productivity Measure and Evaluation,Computer Aided Design,Mechanical Engineer,CAD and CAM Engineer
CAD Data Modification,Computer Aided Design,Mechanical Engineer,CAD and CAM Engineer
Product Reliability,Computer Aided Design,Mechanical Engineer,CAD and CAM Engineer
Coordinate related departments,Computer Aided Design,Mechanical Engineer,CAD and CAM Engineer
Create Sketch/Dimension,Computer Aided Design,Mechanical Engineer,CAD and CAM Engineer
Create Changes Layout,Computer Aided Design,Mechanical Engineer,CAD and CAM Engineer
Progress Management,Computer Aided Design,Mechanical Engineer,CAD and CAM Engineer
Assembly Processing,Computer Aided Design,Mechanical Engineer,CAD and CAM Engineer
Product Specification Proposal,Computer Aided Design,Mechanical Engineer,CAD and CAM Engineer
Draft Angle,Computer Aided Design,Mechanical Engineer,CAD and CAM Engineer
Manufacturing Capabilities,Computer Aided Design,Mechanical Engineer,CAD and CAM Engineer
Export Step 3D,Computer Aided Engineering,Hardware Engineer,CAD and CAM Engineer
Design and Layout Error Solver,Computer Aided Engineering,Hardware Engineer,CAD and CAM Engineer
Layout Review,Computer Aided Engineering,Hardware Engineer,CAD and CAM Engineer
Optimization for Manufacture,Computer Aided Engineering,Hardware Engineer,CAD and CAM Engineer
Create Manufacture Documents,Computer Aided Engineering,Hardware Engineer,CAD and CAM Engineer
Create Netlist,Computer Aided Engineering,Hardware Engineer,CAD and CAM Engineer
Optimization Schematic,Computer Aided Engineering,Hardware Engineer,CAD and CAM Engineer
Optimization Layout,Computer Aided Engineering,Hardware Engineer,CAD and CAM Engineer
Boundary Condition,Computer Aided Engineering,Hardware Engineer,CAD and CAM Engineer
Result Processing,Computer Aided Engineering,Hardware Engineer,CAD and CAM Engineer
PDN error Solver,Computer Aided Engineering,Hardware Engineer,CAD and CAM Engineer
Result Analysis,Computer Aided Engineering,Hardware Engineer,CAD and CAM Engineer
Test Result Correlation,Computer Aided Engineering,Hardware Engineer,CAD and CAM Engineer
Optimization BOM cost,Computer Aided Engineering,Hardware Engineer,CAD and CAM Engineer
Create Gerber,Computer Aided Engineering,Hardware Engineer,CAD and CAM Engineer
Report & Design changes Proposal,Computer Aided Engineering,Hardware Engineer,CAD and CAM Engineer
SI error Solver,Computer Aided Engineering,Hardware Engineer,CAD and CAM Engineer
Durability/Fatigue Solver,Computer Aided Engineering,Mechanical Engineer,CAD and CAM Engineer
Assembly Part,Computer Aided Engineering,Mechanical Engineer,CAD and CAM Engineer
Boundary Condition,Computer Aided Engineering,Mechanical Engineer,CAD and CAM Engineer
Result Analysis,Computer Aided Engineering,Mechanical Engineer,CAD and CAM Engineer
Noise Vibration and Harshness Solver,Computer Aided Engineering,Mechanical Engineer,CAD and CAM Engineer
Test Result Correlation,Computer Aided Engineering,Mechanical Engineer,CAD and CAM Engineer
Computational Fluid Dynamics Solver,Computer Aided Engineering,Mechanical Engineer,CAD and CAM Engineer
Crashworthiness Solver,Computer Aided Engineering,Mechanical Engineer,CAD and CAM Engineer
Result Processing,Computer Aided Engineering,Mechanical Engineer,CAD and CAM Engineer
Assembly Full Car,Computer Aided Engineering,Mechanical Engineer,CAD and CAM Engineer
Create FEM Model,Computer Aided Engineering,Mechanical Engineer,CAD and CAM Engineer
Thermal Solver,Computer Aided Engineering,Mechanical Engineer,CAD and CAM Engineer
Optimization Methods,Computer Aided Engineering,Mechanical Engineer,CAD and CAM Engineer
Multi Body Dynamic Solver,Computer Aided Engineering,Mechanical Engineer,CAD and CAM Engineer
Report & Design changes Proposal,Computer Aided Engineering,Mechanical Engineer,CAD and CAM Engineer
Strength Solver,Computer Aided Engineering,Mechanical Engineer,CAD and CAM Engineer
Modify FEM Model,Computer Aided Engineering,Mechanical Engineer,CAD and CAM Engineer
Altium Designer,Development Tools and Environment,Hardware Engineer,CAD and CAM Engineer
Advanced Design System (ADS),Development Tools and Environment,Hardware Engineer,CAD and CAM Engineer
Allegro Sigrity SI / PI,Development Tools and Environment,Hardware Engineer,CAD and CAM Engineer
KiCAD System,Development Tools and Environment,Hardware Engineer,CAD and CAM Engineer
HFSS Technology,Development Tools and Environment,Hardware Engineer,CAD and CAM Engineer
Ansys HFSS,Development Tools and Environment,Hardware Engineer,CAD and CAM Engineer
Zuken Platform,Development Tools and Environment,Hardware Engineer,CAD and CAM Engineer
PADS Software,Development Tools and Environment,Hardware Engineer,CAD and CAM Engineer
Allegro MicroSystems,Development Tools and Environment,Hardware Engineer,CAD and CAM Engineer
Expedition Platform,Development Tools and Environment,Hardware Engineer,CAD and CAM Engineer
Inventor Software,Development Tools and Environment,Mechanical Engineer,CAD and CAM Engineer
Ansys Software,Development Tools and Environment,Mechanical Engineer,CAD and CAM Engineer
Hyper Works Software,Development Tools and Environment,Mechanical Engineer,CAD and CAM Engineer
StarCCM Software,Development Tools and Environment,Mechanical Engineer,CAD and CAM Engineer
LS Dyna Software,Development Tools and Environment,Mechanical Engineer,CAD and CAM Engineer
Abaqus Software,Development Tools and Environment,Mechanical Engineer,CAD and CAM Engineer
iCAD Software,Development Tools and Environment,Mechanical Engineer,CAD and CAM Engineer
NX-CAE Software,Development Tools and Environment,Mechanical Engineer,CAD and CAM Engineer
NX-CAD Software,Development Tools and Environment,Mechanical Engineer,CAD and CAM Engineer
ANSA Software,Development Tools and Environment,Mechanical Engineer,CAD and CAM Engineer
Animator Software,Development Tools and Environment,Mechanical Engineer,CAD and CAM Engineer
Pamcrash Software,Development Tools and Environment,Mechanical Engineer,CAD and CAM Engineer
Creo Software,Development Tools and Environment,Mechanical Engineer,CAD and CAM Engineer
Catia-CAE Software,Development Tools and Environment,Mechanical Engineer,CAD and CAM Engineer
MSC Nastran Software,Development Tools and Environment,Mechanical Engineer,CAD and CAM Engineer
Solid Works Software,Development Tools and Environment,Mechanical Engineer,CAD and CAM Engineer
Primer Software,Development Tools and Environment,Mechanical Engineer,CAD and CAM Engineer
Catia-CAD Software,Development Tools and Environment,Mechanical Engineer,CAD and CAM Engineer
AutoCAD Design and Software,Development Tools and Environment,Mechanical Engineer,CAD and CAM Engineer
Inventory Control,Industry Software,Manufacturing Engineer,CAD and CAM Engineer
APS Platform,Industry Software,Manufacturing Engineer,CAD and CAM Engineer
Quality Management,Industry Software,Manufacturing Engineer,CAD and CAM Engineer
Odoo Open Source ERP and CRM,Industry Software,Manufacturing Engineer,CAD and CAM Engineer
PLM System,Industry Software,Manufacturing Engineer,CAD and CAM Engineer
Maintenance Management,Industry Software,Manufacturing Engineer,CAD and CAM Engineer
Product Planning,Industry Software,Manufacturing Engineer,CAD and CAM Engineer
SAP Technology,Industry Software,Manufacturing Engineer,CAD and CAM Engineer
ALM QAQC Tools,Industry Software,Manufacturing Engineer,CAD and CAM Engineer
SCM-Supply Chain Management,Industry Software,Manufacturing Engineer,CAD and CAM Engineer
"IFix, Cimplicity - GE",Operator Control and Monitoring Systems,Manufacturing Engineer,CAD and CAM Engineer
Kepware Software Solutions,Operator Control and Monitoring Systems,Manufacturing Engineer,CAD and CAM Engineer
WEBACESS - Advance tech,Operator Control and Monitoring Systems,Manufacturing Engineer,CAD and CAM Engineer
Wincc - Siemens,Operator Control and Monitoring Systems,Manufacturing Engineer,CAD and CAM Engineer
PCB structure Basic,Platforms,Hardware Engineer,CAD and CAM Engineer
Electronic symbol Basic,Platforms,Hardware Engineer,CAD and CAM Engineer
Electronic and PCB Material Basic,Platforms,Hardware Engineer,CAD and CAM Engineer
Circuit Basic,Platforms,Hardware Engineer,CAD and CAM Engineer
Siemens MindSphere,Platforms,Manufacturing Engineer,CAD and CAM Engineer
Azure IoT Products and Services,Platforms,Manufacturing Engineer,CAD and CAM Engineer
PTC Thingworx,Platforms,Manufacturing Engineer,CAD and CAM Engineer
IBM Watson,Platforms,Manufacturing Engineer,CAD and CAM Engineer
AWS IoT,Platforms,Manufacturing Engineer,CAD and CAM Engineer
GE Predix,Platforms,Manufacturing Engineer,CAD and CAM Engineer
Vehicle Structure,Platforms,Mechanical Engineer,CAD and CAM Engineer
Mechanical Material Basic,Platforms,Mechanical Engineer,CAD and CAM Engineer
Drawing Tools,Platforms,Mechanical Engineer,CAD and CAM Engineer
Machining Solutions,Platforms,Mechanical Engineer,CAD and CAM Engineer
PCB Technology,Product Engineering,LSI Hardware Design Engineer,CAD and CAM Engineer
Board Bring-up,Product Engineering,LSI Hardware Design Engineer,CAD and CAM Engineer
Product Circuit Design,Product Engineering,LSI Hardware Design Engineer,CAD and CAM Engineer
System Validation,Product Engineering,LSI Hardware Design Engineer,CAD and CAM Engineer
System Architecture Design,Product Engineering,LSI Hardware Design Engineer,CAD and CAM Engineer
Script Programming Language,Programming Languages,Hardware Engineer,CAD and CAM Engineer
Python Programming Language,Programming Languages,Manufacturing Engineer,CAD and CAM Engineer
Windows Presentation Foundation (WPF),Programming Languages,Manufacturing Engineer,CAD and CAM Engineer
Angular Front-end Web Framework,Programming Languages,Manufacturing Engineer,CAD and CAM Engineer
