skill,group_skills,title,role
Amazon Athena-Query Data in S3 using SQL,Cloud Data Analytics,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
Amazon Redshift Cloud Data Warehouse,Cloud Data Analytics,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
AWS Data-driven Workflows,Cloud Data Analytics,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
AWS Lake Formation-Build a Secure Data Lake,Cloud Data Analytics,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
Amazon CloudSearch-Managed Search Service,Cloud Data Analytics,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
AWS Data Pipeline-Orchestration Service for Periodic,Cloud Data Analytics,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
Amazon Kinesis-Work with Real-time Streaming Data,Cloud Data Analytics,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
Amazon Elasticsearch Service-Run and Scale Elasticsearch Clusters,Cloud Data Analytics,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
Amazon EMR-Hosted Hadoop Framework,Cloud Data Analytics,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
Amazon Managed Streaming for Apache Kafka,Cloud Data Analytics,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
AWS Glue-Prepare and Load Data,Cloud Data Analytics,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
Amazon QuickSight-Fast Business Analytics Service,Cloud Data Analytics,AWS Cloud Engineer,Cloud Computing Infrastructure Engineer
Power BI Embedded,Cloud Data Analytics,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Data Factory,Cloud Data Analytics,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
R Server for HDInsight,Cloud Data Analytics,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
SQL Data Warehouse,Cloud Data Analytics,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Event Hubs,Cloud Data Analytics,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure Analysis Services,Cloud Data Analytics,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Data Lake Analytics,Cloud Data Analytics,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Content moderator,Cloud Data Analytics,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure Databricks,Cloud Data Analytics,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
HDInsight Platform,Cloud Data Analytics,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure Data Explorer,Cloud Data Analytics,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Data Catalog,Cloud Data Analytics,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure Stream Analytics,Cloud Data Analytics,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Dataproc,Cloud Data Analytics,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Google Data Studio,Cloud Data Analytics,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Pub/Sub,Cloud Data Analytics,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Life Sciences,Cloud Data Analytics,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Dataprep,Cloud Data Analytics,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Composer,Cloud Data Analytics,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Google Marketing Platform,Cloud Data Analytics,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Data Catalog,Cloud Data Analytics,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Data Fusion,Cloud Data Analytics,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
BigQuery Programming Language,Cloud Data Analytics,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Dataflow,Cloud Data Analytics,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure SQL Database,Cloud Databases,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure Database for MySQL,Cloud Databases,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure SQL Database Edge,Cloud Databases,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
SQL Server Managed Instance,Cloud Databases,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure Cosmos DB Database,Cloud Databases,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure Database for PostgreSQL,Cloud Databases,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Table Storage,Cloud Databases,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure Cache for Redis,Cloud Databases,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure Database for MariaDB,Cloud Databases,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
SQL Server Stretch Database,Cloud Databases,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Spanner,Cloud Databases,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Memorystore,Cloud Databases,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud SQL,Cloud Databases,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Bigtable,Cloud Databases,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Firebase Realtime Database,Cloud Databases,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Firestore,Cloud Databases,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Infrastructure,Cloud Developer Tools,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
App Configuration,Cloud Developer Tools,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Visual Studio Code IDE,Cloud Developer Tools,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Visual Studio IDE,Cloud Developer Tools,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Developer Tool Integrations,Cloud Developer Tools,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
SDK Packages,Cloud Developer Tools,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure Lab Services,Cloud Developer Tools,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Tools for Eclipse,Cloud Developer Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Gradle App Engine Plugin,Cloud Developer Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Tekton System,Cloud Developer Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Tools for Visual Studio,Cloud Developer Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Code,Cloud Developer Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud SDK,Cloud Developer Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Tools for PowerShell,Cloud Developer Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Build,Cloud Developer Tools,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
